朝代;年;月;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;又名;民族;旗分;旗分（或）;爵位;科举;科举（其他）
道光;十七;12;1836;12;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;宗室;德诚;;满洲;镶蓝;;;进士;
咸丰;六;12;1856;12;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;麟兴;;蒙古;正白;;;;
同治;九;9;1870;9;副都统;锦州副都统;副都统;副都统;从二;;古尼音布;;满洲;正蓝;;;;
光绪;九;9;1883;9;副都统;锦州副都统;副都统;副都统;从二;;维庆;;满洲;镶黄;;侍卫;;
乾隆;六十;9;1795;9;副都统;齐齐哈尔副都统;副都统;副都统;从二;;达明阿;;满洲;镶蓝;;;;
咸丰;一;12;1862;12;副都统;齐齐哈尔副都统;副都统;副都统;从二;;特尔卿额;;蒙古;正黄;;;;
嘉庆;二十三;12;1819;12;副都统;墨尔根副都统;副都统;副都统;从二;;色玉慎;;;;;;;
同治;八;9;1869;9;副都统;墨尔根副都统;副都统;副都统;从二;;依克唐阿;;满洲;镶黄;;马甲;;
道光;二十九;9;1849;9;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;;书元;;满洲;镶蓝;;;文生员;
同治;二;12;1863;12;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;;宝珣;;满洲;镶黄;;;进士;
同治;四;9;1865;9;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;;额勒和布;;满洲;镶蓝;;;翻译进士;
道光;十六;12;1836;12;奉天府;奉天府府尹;府尹;府尹;正三;;庆林;;满洲;正白;;;;
乾隆;四十七;9;1782;9;奉天将军;盛京将军;将军;将军;从一;宗室;永玮;;满洲;镶蓝;;奉恩辅国公;;
乾隆;五十六;9;1791;9;盛京将军;盛京将军;将军;将军;从一;宗室;琳宁;;满洲;镶蓝;;;笔帖式;
道光;十六;9;1836;9;盛京将军;盛京将军;将军;将军;从一;觉罗;宝兴;;满洲;镶黄;;;进士;
道光;二十五;9;1845;9;盛京将军;盛京将军;将军;将军;从一;宗室;奕湘;;满洲;正红;;郑国公;;
咸丰;一;9;1851;9;盛京将军;盛京将军;将军;将军;从一;宗室;奕兴;;满洲;镶蓝;;;;
乾隆;五十九;9;1794;9;吉林将军;吉林将军;将军;将军;从一;;秀林;;满洲;镶白;;;监生;
嘉庆;二十三;9;1818;9;吉林将军;吉林将军;将军;将军;从一;;富俊;;蒙古;正黄;;;翻译进士;
道光;二十八;12;1848;12;吉林将军;吉林将军;将军;将军;从一;;倭什讷;;蒙古;正黄;;;荫生;
同治;三;12;1864;12;吉林将军;吉林将军;将军;将军;从一;;皁保;;满洲;镶黄;;;进士;
同治;九;9;1870;9;吉林将军;吉林将军;将军;将军;从一;宗室;奕榕;;满洲;镶白;;奉恩将军;;
乾隆;五十七;9;1792;9;盛京礼部;盛京礼部侍郎;侍郎;侍郎;正二;觉罗;德瑛;;满洲;镶黄;;;笔帖式;
道光;二十八;12;1848;12;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;恒毓;;满洲;镶白;;;;
咸丰;六;12;1856;12;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;讷尔济;;满洲;正白;;;翻译进士;
嘉庆;十六;12;1811;12;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;;贵庆;;满洲;镶白;;;进士;
道光;十五;12;1835;12;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;;文蔚;;满洲;正蓝;;;进士;
道光;二十七;12;1847;12;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;;桂德;;满洲;镶蓝;;;文生;
嘉庆;八;9;1803;9;副都统;盛京副都统;副都统;副都统;从二;宗室;宜兴;;满洲;镶红;;;笔帖式;
嘉庆;二十四;12;1819;12;副都统;盛京副都统;副都统;副都统;从二;;富僧德;;满洲;镶黄;;;;
道光;二十;9;1840;9;副都统;盛京副都统;副都统;副都统;从二;宗室;奕兴;;满洲;镶蓝;;;;
光绪;六;9;1880;9;副都统;盛京副都统;副都统;副都统;从二;;富升;;满洲;正红;;;;
嘉庆;二十三;12;1819;12;副都统;吉林副都统;副都统;副都统;从二;;富登阿;;满洲;镶黄;;幼丁[西丹](壮丁)(什单);;
同治;九;9;1870;9;副都统;吉林副都统;副都统;副都统;从二;;毓福;;满洲;正蓝;;;;
同治;十;12;1871;12;副都统;吉林副都统;副都统;副都统;从二;;载耀;;;;;;;
光绪;二十八;9;1902;9;副都统;宁古塔副都统;副都统;副都统;从二;;庆禄;;蒙古;正红;;披甲;;
道光;二十三;9;1843;9;副都统;伯都讷副都统;副都统;副都统;从二;;倭克精额;;汉军;正黄;;;笔帖式;
光绪;二十四;9;1898;9;副都统;伯都讷副都统;副都统;副都统;从二;;松昆;;;;;;;
光绪;一;9;1875;9;副都统;三姓副都统;副都统;副都统;从二;觉罗;长麟;;满洲;正蓝;;;进士;
嘉庆;二十四;12;1819;12;副都统;阿勒楚喀副都统;副都统;副都统;从二;;穆腾额;;满洲;正白;;马甲;;
道光;十五;12;1835;12;副都统;阿勒楚喀副都统;副都统;副都统;从二;;察隆阿;;;;;;;
嘉庆;二十四;12;1819;12;副都统;黑龙江副都统;副都统;副都统;从二;;精钦保;精勤保;;;;;;
道光;二十六;12;1847;12;副都统;黑龙江副都统;副都统;副都统;从二;;清安;;满洲;正白;;;进士;
道光;二十八;12;1849;12;副都统;熊岳副都统;副都统;副都统;从二;;桂生;贵升;;;;;优贡生;
