朝代;年;月;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;公历年次数;又名;民族;旗分;旗分（或）;爵位;科举;科举（其他）
雍正;十二;2;1734;2;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;;官保;1;;满洲;正白;;;;
康熙;三十八;;1699;;副都统;黑龙江副都统;副都统;副都统;从二;;官保;1;;满洲;正白;;;;
乾隆;四十三;;1778;;副都统;齐齐哈尔副都统;副都统;副都统;从二;;官褔;1;;满洲;镶黄;;;;
同治;四;9;1865;9;副都统;伯都讷副都统;副都统;副都统;从二;;定安;2;;满洲;正黄;;;;
同治;五;4;1866;4;副都统;伯都讷副都统;副都统;副都统;从二;;定安;2;;满洲;正黄;;;;
光绪;十四;12;1888;12;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;;定安;1;;满洲;正黄;;;;
光绪;;;;;盛京将军;盛京将军;将军;将军;从一;;定安;1;;满洲;正黄;;;;
光绪;六;;1880;;黑龙江将军;黑龙江将军;将军;将军;从一;;定安;2;;满洲;正黄;;;;
光绪;六;;1880;;黑龙江将军;黑龙江将军;将军;将军;从一;;定安;2;;满洲;正黄;;;;
同治;一;2;1862;2;副都统;齐齐哈尔副都统;副都统;副都统;从二;;定安;1;;满洲;正黄;;;;
咸丰;三;6;1853;6;副都统;锦州副都统;副都统;副都统;从二;;定福;1;;;;;;;
乾隆;五十二;2;1787;2;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;宗室;宜兴;1;;满洲;镶红;;;笔帖式;
乾隆;五十七;9;1792;9;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;宗室;宜兴;1;;满洲;镶红;;;笔帖式;
嘉庆;八;9;1803;9;副都统;盛京副都统;副都统;副都统;从二;宗室;宜兴;1;;满洲;镶红;;;笔帖式;
乾隆;五十二;2;1787;2;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;宗室;宜兴;1;;满洲;镶红;;;笔帖式;
乾隆;四十八;7;1783;7;盛京礼部;盛京礼部侍郎;侍郎;侍郎;正二;宗室;宜兴;1;;满洲;镶红;;;笔帖式;
道光;十一;9;1831;9;吉林将军;吉林将军;将军;将军;从一;觉罗;宝兴;1;;满洲;镶黄;;;进士;
道光;十三;4;1833;4;盛京将军;盛京将军;将军;将军;从一;觉罗;宝兴;2;;满洲;镶黄;;;进士;
道光;十六;9;1836;9;盛京将军;盛京将军;将军;将军;从一;觉罗;宝兴;2;;满洲;镶黄;;;进士;
同治;二;9;1863;9;副都统;盛京副都统;副都统;副都统;从二;;宝善;2;;满洲;镶黄;;;;
同治;;;;;副都统;盛京副都统;副都统;副都统;从二;;宝善;2;;满洲;镶黄;;;;
同治;三;;1864;;黑龙江将军;黑龙江将军;将军;将军;从一;;宝善;1;;满洲;镶蓝;;;笔帖式;
同治;四;2;1865;2;副都统;齐齐哈尔副都统;副都统;副都统;从二;;宝善;1;;满洲;镶黄;;;;
咸丰;九;11;1859;11;副都统;盛京副都统;副都统;副都统;从二;;宝山;3;;满洲;正黄;;;;
咸丰;十一;5;1861;5;副都统;盛京副都统;副都统;副都统;从二;;宝山;3;;满洲;正黄;;;;
同治;;;;;副都统;盛京副都统;副都统;副都统;从二;;宝山;3;;满洲;正黄;;;;
光绪;六;10;1880;10;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;宗室;宝森;1;;满洲;镶蓝;;;进士;
光绪;七;6;1881;6;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;宗室;宝森;2;;满洲;镶蓝;;;进士;
光绪;八;;1882;;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;宗室;宝森;2;;满洲;镶蓝;;;进士;
嘉庆;二;1;1797;1;盛京礼部;盛京礼部侍郎;侍郎;侍郎;正二;;宝源;1;;;;;;;
同治;二;12;1863;12;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;;宝珣;1;;满洲;镶黄;;;进士;
同治;三;6;1864;6;盛京将军;盛京将军;将军;将军;从一;;宝珣;1;;满洲;镶黄;;;进士;
同治;二;12;1863;12;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;;宝珣;2;;满洲;镶黄;;;进士;
同治;;;;;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;;宝珣;2;;满洲;镶黄;;;进士;
乾隆;五十九;1;1794;1;吉林将军;吉林将军;将军;将军;从一;;宝琳;1;;满洲;正黄;;;;
康熙;四十二;8;1703;8;黑龙江将军;黑龙江将军;将军;将军;从一;;宝鼎;1;;满洲;正黄;;;;
光绪;八;6;1882;6;副都统;宁古塔副都统;副都统;副都统;从二;;容山;1;;满洲;正黄;;;;
嘉庆;八;6;1803;6;吉林将军;吉林将军;将军;将军;从一;;富俊;4;;蒙古;正黄;;;翻译进士;
嘉庆;十九;2;1814;2;吉林将军;吉林将军;将军;将军;从一;;富俊;4;;蒙古;正黄;;;翻译进士;
嘉庆;二十三;9;1818;9;吉林将军;吉林将军;将军;将军;从一;;富俊;4;;蒙古;正黄;;;翻译进士;
道光;四;2;1824;2;吉林将军;吉林将军;将军;将军;从一;;富俊;4;;蒙古;正黄;;;翻译进士;
嘉庆;十六;12;1811;12;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;;富俊;1;;蒙古;正黄;;;翻译进士;
嘉庆;八;8;1803;8;盛京将军;盛京将军;将军;将军;从一;;富俊;3;;蒙古;正黄;;;翻译进士;
嘉庆;二十二;2;1817;2;盛京将军;盛京将军;将军;将军;从一;;富俊;3;;蒙古;正黄;;;翻译进士;
道光;十;;1860;;盛京将军;盛京将军;将军;将军;从一;;富俊;3;;蒙古;正黄;;;翻译进士;
嘉庆;十六;12;1811;12;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;富俊;1;;蒙古;正黄;;;翻译进士;
嘉庆;十八;;1813;;黑龙江将军;黑龙江将军;将军;将军;从一;;富俊;1;;蒙古;正黄;;;翻译进士;
嘉庆;十;8;1805;8;副都统;熊岳副都统;副都统;副都统;从二;;富僧德;1;;满洲;镶黄;;;;
嘉庆;二十四;12;1819;12;副都统;盛京副都统;副都统;副都统;从二;;富僧德;1;;满洲;镶黄;;;;
道光;十;;1830;;黑龙江将军;黑龙江将军;将军;将军;从一;;富僧德;2;;满洲;镶蓝;;;;
道光;;;;;黑龙江将军;黑龙江将军;将军;将军;从一;;富僧德;2;;满洲;镶蓝;;;;
乾隆;二十三;;1758;;副都统;三姓副都统;副都统;副都统;从二;宗室;富僧格;1;;满洲;正红;;;;
乾隆;三十八;;1773;;副都统;吉林副都统;副都统;副都统;从二;;富僧格;1;;满洲;正白;;;;
乾隆;三十八;;1773;;副都统;墨尔根副都统;副都统;副都统;从二;宗室;富僧格;1;;满洲;正红;;;;
乾隆;二十四;;1759;;副都统;宁古塔副都统;副都统;副都统;从二;;富僧格;1;;;;;;;
乾隆;二十;4;1755;4;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;富僧格;1;福增额、富僧格、富森额、福僧额;满洲;正黄;;;;
乾隆;二十九;4;1764;4;黑龙江将军;黑龙江将军;将军;将军;从一;;富僧格;1;;满洲;正黄;;;;
乾隆;三十五;7;1770;7;副都统;熊岳副都统;副都统;副都统;从二;;富僧额;1;富僧格;满洲;正黄;;;;
道光;十;3;1860;3;吉林将军;吉林将军;将军;将军;从一;;富克精额;1;福克精阿、福克金阿;满洲;正白;;;;
道光;十六;11;1836;11;副都统;伯都讷副都统;副都统;副都统;从二;;富勒洪额;1;;;;;;;
道光;十一;4;1831;4;副都统;伯都讷副都统;副都统;副都统;从二;;富升;1;;满洲;正红;;;;
光绪;六;9;1880;9;副都统;盛京副都统;副都统;副都统;从二;;富升;1;;满洲;正红;;;;
咸丰;九;2;1859;2;副都统;三姓副都统;副都统;副都统;从二;;富呢扬阿;2;;满洲;镶黄;;;;
咸丰;十;12;1861;12;副都统;三姓副都统;副都统;副都统;从二;;富呢扬阿;2;;满洲;镶黄;;;;
道光;九;12;1829;12;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;;富呢扬阿;2;;满洲;镶红;;;举人;
道光;十四;11;1834;11;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;;富呢扬阿;2;;满洲;镶红;;;举人;
道光;十五;10;1835;10;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;;富呢扬阿;1;;满洲;镶红;;;举人;
道光;九;12;1829;12;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;富呢扬阿;2;;满洲;镶红;;;举人;
道光;十四;11;1834;11;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;富呢扬阿;2;;满洲;镶红;;;举人;
咸丰;六;7;1856;7;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;;富呢雅杭阿;1;;蒙古;镶红;;;进士;
咸丰;三;3;1853;3;副都统;熊岳副都统;副都统;副都统;从二;;富呢雅杭阿;1;;蒙古;镶红;;;进士;
咸丰;三;8;1853;8;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;富呢雅杭阿;1;;蒙古;镶红;;;进士;
咸丰;一;11;1851;11;副都统;盛京副都统;副都统;副都统;从二;;富呢雅杭阿;1;;蒙古;镶红;;;进士;
咸丰;六;7;1856;7;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;;富呢雅杭阿;1;;蒙古;镶红;;;进士;
咸丰;四;6;1854;6;副都统;黑龙江副都统;副都统;副都统;从二;;富呢雅杭阿;1;;蒙古;镶红;;;进士;
光绪;三;12;1877;12;副都统;阿勒楚喀副都统;副都统;副都统;从二;;富和;2;;满洲;镶白;;披甲领催;;
光绪;五;7;1879;7;副都统;阿勒楚喀副都统;副都统;副都统;从二;;富和;2;;满洲;镶白;;披甲领催;;
乾隆;二十;4;1755;4;副都统;盛京副都统;副都统;副都统;从二;;富增额;1;富增格;满洲;正黄;;;;
乾隆;四十;10;1775;10;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;;富察善;1;;满洲;镶黄;;;监生;
乾隆;四十;10;1775;10;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;富察善;1;;满洲;镶黄;;;监生;
光绪;二十一;11;1895;11;副都统;吉林副都统;副都统;副都统;从二;;富尔丹;1;;满洲;正红;;领催;;
光绪;十三;7;1887;7;副都统;宁古塔副都统;副都统;副都统;从二;;富尔丹;1;;满洲;正红;;领催;;
雍正;四;;1726;;黑龙江将军;黑龙江将军;将军;将军;从一;;富尔丹;2;;满洲;镶黄;;领催;;
乾隆;十四;;1749;;黑龙江将军;黑龙江将军;将军;将军;从一;;富尔丹;2;;满洲;镶黄;;领催;;
嘉庆;二十五;10;1820;10;副都统;盛京副都统;副都统;副都统;从二;;富尔松阿;1;;;;;;;
乾隆;十二;;1747;;副都统;黑龙江副都统;副都统;副都统;从二;;富尔松阿;1;;;;;;;
同治;四;9;1865;9;副都统;吉林副都统;副都统;副都统;从二;;富尔荪;1;;满洲;正蓝;;;;
同治;;;;;副都统;阿勒楚喀副都统;副都统;副都统;从二;;富尔荪;1;;满洲;正蓝;;;;
嘉庆;三;2;1798;2;副都统;宁古塔副都统;副都统;副都统;从二;;富尼善;1;;满洲;镶红;;;;
同治;四;5;1865;5;副都统;盛京副都统;副都统;副都统;从二;;富平阿;1;;;;;;;
乾隆;三十;6;1765;6;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;富德;1;;满洲;正蓝;;;;
乾隆;十二;6;1747;6;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;;富德;1;;满洲;正蓝;;;;
同治;五;2;1866;2;吉林将军;吉林将军;将军;将军;从一;;富明阿;1;;汉军;正白;;披甲(马甲);;
咸丰;八;9;1858;9;副都统;宁古塔副都统;副都统;副都统;从二;;富明阿;1;;汉军;正白;;披甲(马甲);;
同治;五;;1866;;黑龙江将军;黑龙江将军;将军;将军;从一;;富明阿;1;;汉军;正白;;披甲(马甲);;
咸丰;四;7;1854;7;副都统;宁古塔副都统;副都统;副都统;从二;宗室;富春;1;;满洲;镶红;;;;
道光;二十一;12;1841;12;副都统;黑龙江副都统;副都统;副都统;从二;宗室;富春;1;;满洲;镶红;;;;
乾隆;三十五;4;1770;4;吉林将军;吉林将军;将军;将军;从一;宗室;富椿;1;;满洲;镶红;;奉恩辅国公;;
道光;二;11;1823;11;副都统;熊岳副都统;副都统;副都统;从二;;富永;1;;蒙古;镶黄;;;;
乾隆;三十一;;1766;;副都统;三姓副都统;副都统;副都统;从二;;富珠哩;1;富珠礼;满洲;镶白;;;;
乾隆;二十八;;1763;;副都统;吉林副都统;副都统;副都统;从二;;富珠哩;1;富珠礼;满洲;正黄;;;;
乾隆;三十七;;1774;;副都统;宁古塔副都统;副都统;副都统;从二;;富珠哩;1;富珠礼;满洲;正白;;;;
乾隆;四十九;;1784;;副都统;阿勒楚喀副都统;副都统;副都统;从二;;富珠哩;1;富珠礼;满洲;正白;;;;
乾隆;三十五;;1770;;副都统;黑龙江副都统;副都统;副都统;从二;;富珠哩;1;富珠礼;满洲;正蓝;;;;
嘉庆;七;2;1802;2;副都统;锦州副都统;副都统;副都统;从二;宗室;富疆阿;2;富江阿;满洲;正红;;;;
嘉庆;十三;4;1808;4;副都统;锦州副都统;副都统;副都统;从二;宗室;富疆阿;2;;满洲;正红;;;;
嘉庆;二十三;12;1819;12;副都统;吉林副都统;副都统;副都统;从二;;富登阿;1;;满洲;镶黄;;幼丁[西丹](壮丁)(什单);;
嘉庆;九;10;1804;10;副都统;宁古塔副都统;副都统;副都统;从二;;富登阿;1;;满洲;镶黄;;幼丁[西丹](壮丁)(什单);;
嘉庆;二十三;9;1818;9;副都统;盛京副都统;副都统;副都统;从二;;富祥;1;;;;;;;
道光;九;10;1829;10;副都统;阿勒楚喀副都统;副都统;副都统;从二;;富经;1;;汉;;;;;
乾隆;二十六;;1761;;副都统;伯都讷副都统;副都统;副都统;从二;;富良;1;;满洲;镶蓝;;;;
乾隆;二十八;;1763;;副都统;吉林副都统;副都统;副都统;从二;;富良;1;;满洲;镶蓝;;;;
乾隆;六十;12;1796;12;副都统;墨尔根副都统;副都统;副都统;从二;;富色铿额;1;;;;;;;
咸丰;十;12;1861;12;副都统;宁古塔副都统;副都统;副都统;从二;;富隆阿;1;;;;;;;
咸丰;五;12;1855;12;副都统;伯都讷副都统;副都统;副都统;从二;;富隆额;1;;满洲;正白;;;;
光绪;二十七;5;1901;5;副都统;盛京副都统;副都统;副都统;从二;;富隆额;1;;满洲;正白;;;;
光绪;三十;;1904;;吉林将军;吉林将军;将军;将军;从一;;富顺;1;;满洲;镶红;;披甲监生;;
光绪;十四;12;1888;12;副都统;伯都讷副都统;副都统;副都统;从二;;富魁;1;;汉军;镶黄;;;;
雍正;四;;1726;;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;;富鼐;1;傅鼐;满洲;镶白;;;;
康熙;二十四;12;1685;12;奉天将军;盛京将军;将军;将军;从一;宗室;察尼;1;查尼;满洲;正蓝;;;;
道光;十四;12;1835;12;副都统;盛京副都统;副都统;副都统;从二;;察隆阿;1;;;;;;;
道光;十五;2;1835;2;副都统;锦州副都统;副都统;副都统;从二;;察隆阿;1;;;;;;;
道光;十五;12;1835;12;副都统;阿勒楚喀副都统;副都统;副都统;从二;;察隆阿;1;;;;;;;
雍正;九;6;1731;6;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;对琳;1;;满洲;正蓝;;;;
光绪;三十;4;1904;4;副都统;黑龙江副都统;副都统;副都统;从二;;寿勋;1;;蒙古;镶黄;;;;
光绪;二十四;8;1898;8;副都统;黑龙江副都统;副都统;副都统;从二;;寿山;1;;汉军;正白;;;荫生;
光绪;二十五;;1899;;黑龙江将军;黑龙江将军;将军;将军;从一;;寿山;1;;汉军;正白;;;荫生;
光绪;三十三;3;1907;3;副都统;墨尔根副都统;副都统;副都统;从二;;寿庆;1;;满洲;正白;;;;
光绪;二十;8;1894;8;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;宗室;寿荫;1;;满洲;正红;;;荫生;
光绪;二十一;10;1895;10;副都统;熊岳副都统;副都统;副都统;从二;;寿长;1;;满洲;正白;;监生;武进士;
顺治;八;10;1651;10;副都统;盛京梅勒章京;副都统;梅勒章京;从二;;尚颜;1;尚严;蒙古;镶蓝;;;;
康熙;二十二;;1683;;乌拉宁古塔将军衙门;乌拉宁古塔将军衙门;将军;将军;从一;;尹图;1;;;正红;;;;
雍正;三;6;1725;6;奉天府;奉天府府尹;府尹;府尹;正三;;尹泰;1;;满洲;镶黄;;;笔帖式;
顺治;十五;;1658;;副都统;宁古塔副都统;副都统;副都统;从二;;尼喀立;1;;满洲;正红;;;;
康熙;五十六;11;1717;11;奉天府;奉天府府尹;府尹;府尹;正三;;屠沂;1;;汉;;;;进士;
光绪;四;6;1878;6;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;宗室;岐元;1;;满洲;正红;;;;
光绪;四;;1878;;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;宗室;岐元;1;;满洲;正红;;;;
光绪;二;;1876;;盛京将军;盛京将军;将军;将军;从一;宗室;岐元;4;;满洲;正红;;;;
光绪;四;;1878;;盛京将军;盛京将军;将军;将军;从一;宗室;岐元;4;;满洲;正红;;;;
光绪;五;;1879;;盛京将军;盛京将军;将军;将军;从一;宗室;岐元;4;;满洲;正红;;;;
光绪;;;;;盛京将军;盛京将军;将军;将军;从一;宗室;岐元;4;;满洲;正红;;;;
光绪;一;7;1875;7;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;宗室;岐元;1;;满洲;正红;;;;
乾隆;五十六;11;1791;11;奉天府;奉天府府尹;府尹;府尹;正三;;岳起;1;;满洲;镶白;;;举人;
光绪;二;10;1876;10;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;;崇厚;1;;满洲;镶黄;;;举人;
光绪;二;;1876;;盛京将军;盛京将军;将军;将军;从一;;崇厚;1;;满洲;镶黄;;;举人;
光绪;二十六;;1900;;盛京将军;盛京将军;将军;将军;从一;宗室;崇善;1;;满洲;镶红;;;;
光绪;十一;1;1885;1;副都统;锦州副都统;副都统;副都统;从二;宗室;崇善;1;;满洲;镶红;;奉恩将军;;
光绪;一;2;1875;2;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;;崇实;1;;满洲;镶黄;;;进士;
光绪;一;;1875;;盛京将军;盛京将军;将军;将军;从一;;崇实;1;;满洲;镶黄;;;进士;
光绪;一;;1875;;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;;崇实;1;;满洲;镶黄;;;进士;
光绪;二十五;12;1899;12;盛京礼部;盛京礼部侍郎;侍郎;侍郎;正二;宗室;崇宽;1;;满洲;镶蓝;;;进士;
咸丰;三;3;1853;3;奉天府;奉天府府尹;府尹;府尹;正三;觉罗;崇恩;1;;满洲;正红;;;廪生;
同治;十二;11;1873;11;副都统;阿勒楚喀副都统;副都统;副都统;从二;觉罗;崇欢;1;;满洲;镶蓝;;;;
嘉庆;十三;6;1808;6;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;;崇禄;1;;满洲;镶白;;;监生;
光绪;四;;1878;;吉林将军;吉林将军;将军;将军;从一;;崇绮;1;;满洲;镶黄;;;进士;
光绪;七;7;1881;7;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;;崇绮;1;;满洲;镶黄;;;进士;
光绪;七;;1881;;盛京将军;盛京将军;将军;将军;从一;;崇绮;1;;满洲;镶黄;;;进士;
道光;十一;7;1831;7;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;嵩惠;1;;满洲;镶蓝;;;监生;
道光;十二;1;1832;1;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;;嵩惠;1;;满洲;镶蓝;;;监生;
乾隆;五十四;4;1789;4;奉天将军;盛京将军;将军;将军;从一;宗室;嵩椿;1;;满洲;镶蓝;;奉恩辅国公;;
康熙;四十八;2;1709;2;奉天将军;盛京将军;将军;将军;从一;;嵩祝;1;松桂;满洲;镶蓝;;骑都尉;;
道光;七;8;1827;8;副都统;熊岳副都统;副都统;副都统;从二;;左廷桐;1;;汉军;正白;;;;
康熙;四十六;9;1707;9;副都统;盛京副都统;副都统;副都统;从二;;巴勒;1;;满洲;镶黄;;;;
乾隆;五十三;;1788;;副都统;吉林副都统;吉林副都统;;从二;;巴哩木达;1;;;;;;;
嘉庆;七;12;1802;12;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;巴宁阿;1;;汉军;正白;;;笔帖式;
雍正;十一;;1733;;副都统;宁古塔副都统;副都统;副都统;从二;宗室;巴尔岱;1;;满洲;正蓝;;;;
雍正;十一;1;1733;1;副都统;盛京副都统;副都统;副都统;从二;宗室;巴尔岱;1;;满洲;正蓝;;;;
康熙;十三;;1674;;副都统;伯都讷副都统;副都统;副都统;从二;;巴尔达;1;;满洲;正白;;;;
康熙;二十八;;1689;;副都统;吉林副都统;副都统;副都统;从二;;巴尔达;1;;满洲;正黄;;;;
乾隆;二十四;;1759;;副都统;三姓副都统;副都统;副都统;从二;;巴岱;1;八岱;满洲;镶红;;;;
乾隆;二十三;;1758;;副都统;阿勒楚喀副都统;副都统;副都统;从二;;巴岱;1;八岱;满洲;镶红;;;;
乾隆;五十六;11;1791;11;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;觉罗;巴延三;1;;满洲;正红;;;官学生;
咸丰;二;4;1852;4;副都统;宁古塔副都统;副都统;副都统;从二;;巴栋阿;1;;满洲;正黄;;前锋委官(前锋);;
康熙;五十二;12;1713;12;盛京礼部;盛京礼部侍郎;侍郎;侍郎;正二;;巴济纳;1;巴巴那;满洲;镶白;;;;
康熙;一;;1662;;乌拉宁古塔将军衙门;乌拉宁古塔将军衙门;将军;将军;从一;;巴海;1;;满洲;镶蓝;;;;
康熙;一;;1662;;吉林将军;吉林将军;将军;将军;从一;;巴海;1;;满洲;镶蓝;;;;
顺治;十六;;1659;;乌拉宁古塔将军衙门;昂邦章京;昂邦章京;昂邦章京;;;巴海;1;;满洲;镶蓝;;;;
乾隆;十四;10;1749;10;副都统;熊岳副都统;副都统;副都统;从二;;巴海;1;;满洲;正白;;;;
乾隆;十五;12;1750;12;副都统;盛京副都统;副都统;副都统;从二;;巴海;1;;满洲;正白;;;;
乾隆;九;3;1744;3;吉林将军;吉林将军;将军;将军;从一;;巴灵阿;1;;满洲;正黄;;;;
嘉庆;二十一;11;1816;11;副都统;墨尔根副都统;副都统;副都统;从二;;巴灵阿;1;;满洲;正黄;;;;
雍正;十;8;1732;8;副都统;锦州副都统;副都统;副都统;从二;;巴灵阿;1;巴凌阿;满洲;正黄;;親軍校;;
康熙;五十七;;1718;;吉林将军;吉林将军;将军;将军;从一;宗室;巴赛;1;;满洲;镶蓝;;奉恩辅国公;;
乾隆;五十一;;1786;;副都统;齐齐哈尔副都统;齐齐哈尔副都统;;从二;;巴里穆达;2;;;;;;;
乾隆;五十三;;1788;;副都统;齐齐哈尔副都统;齐齐哈尔副都统;;从二;;巴里穆达;2;;;;;;;
道光;十八;10;1838;10;副都统;伯都讷副都统;副都统;副都统;从二;;巴雅尔;1;;;;;;;
道光;二十三;9;1843;9;副都统;吉林副都统;副都统;副都统;从二;;巴雅尔;1;;;;;;;
康熙;十七;11;1678;11;副都统;盛京副都统;副都统;副都统;从二;;布克陶;1;博克托;满洲;镶黄;;;;
嘉庆;十一;1;1806;1;副都统;阿勒楚喀副都统;副都统;副都统;从二;;布兰泰;1;;满洲;正白;;;;
康熙;五十二;;1713;;副都统;齐齐哈尔副都统;副都统;副都统;从二;;布尔九;1;;满洲;镶蓝;;;;
乾隆;十;;1745;;副都统;墨尔根副都统;副都统;副都统;从二;;布尔沙;1;;满洲;正白;;;;
康熙;四十四;10;1705;10;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;;布尔赛;1;;满洲;镶黄;;;;
乾隆;二十四;1;1759;1;副都统;盛京副都统;副都统;副都统;从二;;布彦达赖;1;博彦达赖;满洲;正红;;;;
康熙;三十九;7;1700;7;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;;布泰;1;;满洲;正黄;;;;
康熙;四十二;;1703;;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;;希佛纳;1;希福纳;满洲;镶蓝;;;;
光绪;九;;1883;;吉林将军;吉林将军;将军;将军;从一;;希元;1;;蒙古;正黄;;;荫生;
光绪;五;;1879;;黑龙江将军;黑龙江将军;将军;将军;从一;;希元;1;;蒙古;正黄;;;荫生;
咸丰;五;12;1855;12;副都统;熊岳副都统;副都统;副都统;从二;;希拉布;1;;满洲;镶蓝;;;荫生;
康熙;四十五;3;1706;3;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;席尔图;1;西尔图;满洲;正白;;;;
雍正;五;;1727;;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;常保;1;;满洲;正蓝;;;;
康熙;四十六;;1707;;副都统;伯都讷副都统;副都统;副都统;从二;宗室;常关保;1;;满洲;正黄;;;;
乾隆;二十九;5;1764;5;副都统;锦州副都统;副都统;副都统;从二;;常在;1;;满洲;正黄;;;;
乾隆;四;9;1739;9;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;常安;1;;满洲;镶红;;;举人;
雍正;十一;;1733;;副都统;黑龙江副都统;副都统;副都统;从二;;常寿;1;;满洲;正白;;;;
乾隆;三十二;1;1767;1;副都统;熊岳副都统;副都统;副都统;从二;;常岳;1;;满洲;正红;;;;
道光;十三;1;1833;1;副都统;伯都讷副都统;副都统;副都统;从二;;常德;1;长德;满洲;正红;;;翻译进士;
雍正;八;;1730;;吉林将军;吉林将军;将军;将军;从一;;常德;1;;满洲;正红;;;翻译进士;
雍正;五;;1727;;副都统;宁古塔副都统;副都统;副都统;从二;;常德;1;;满洲;正红;;;翻译进士;
道光;五;12;1825;12;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;;常文;1;;满洲;正蓝;;;贡生;
道光;十;11;1860;11;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;常文;1;;满洲;正蓝;;;贡生;
道光;十二;1;1832;1;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;;常文;1;;满洲;正蓝;;;贡生;
道光;五;6;1825;6;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;;常文;1;;满洲;正蓝;;;贡生;
道光;十一;;1831;;盛京礼部;盛京礼部侍郎;侍郎;侍郎;正二;;常文;1;;满洲;正蓝;;;贡生;
道光;九;2;1829;2;副都统;盛京副都统;副都统;副都统;从二;;常明;1;;满洲;镶红;;;;
嘉庆;二十三;9;1818;9;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;常起;1;;满洲;镶白;;;生员;
乾隆;二十二;2;1757;2;副都统;熊岳副都统;副都统;副都统;从二;;常青;1;;满洲;正黄;;;;
嘉庆;十;8;1805;8;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;宗室;广敏;1;;满洲;镶蓝;;;;
道光;二十四;8;1844;8;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;广林;2;;蒙古;正黄;;;进士;
道光;三十;7;1850;7;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;广林;2;;蒙古;正黄;;;进士;
道光;二十五;4;1845;4;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;;广林;1;;蒙古;正黄;;;进士;
道光;二十七;;1847;;盛京将军;盛京将军;将军;将军;从一;;广林;1;;蒙古;正黄;;;进士;
咸丰;二;10;1852;10;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;广林;1;;蒙古;正黄;;;进士;
