朝代;年;月;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;公历年次数;又名;民族;旗分;旗分（或）;爵位;科举;科举（其他）
乾隆;二十八;7;1763;7;副都统;锦州副都统;副都统;副都统;从二;;书山;1;;满洲;镶黄;;;官学生;
嘉庆;三;1;1798;1;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;宗室;书敬;1;;满洲;镶红;;;笔帖式;
嘉庆;十八;4;1813;4;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;书明阿;2;书敏、书铭;满洲;镶蓝;;;举人;
道光;一;12;1821;12;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;书明阿;2;书敏、书铭;满洲;镶蓝;;;举人;
乾隆;二十七;12;1762;12;副都统;熊岳副都统;副都统;副都统;从二;;书通阿;1;舒通阿;满洲;正红;;;;
光绪;二十七;4;1901;4;副都统;伯都讷副都统;副都统;副都统;从二;;云生;1;;汉军;正白;;;;
康熙;二十七;10;1688;10;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;;五十八;1;吴什巴;满洲;正蓝;;;;
嘉庆;十;8;1805;8;奉天府;奉天府府尹;府尹;府尹;正三;;五诚额;1;;满洲;镶黄;;;;
乾隆;十一;9;1746;9;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;;介福;1;;满洲;镶黄;;;进士;
乾隆;十;;1745;;副都统;宁古塔副都统;副都统;副都统;从二;;伊伦泰;1;;满洲;正蓝;;;;
乾隆;四十二;;1777;;副都统;墨尔根副都统;副都统;副都统;从二;觉罗;伊兰保;1;;满洲;镶红;;;;
嘉庆;十二;2;1807;2;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;宗室;伊冲阿;1;;满洲;正蓝;;;笔帖式;
嘉庆;十二;7;1807;7;副都统;盛京副都统;副都统;副都统;从二;宗室;伊冲阿;1;;满洲;正蓝;;;笔帖式;
道光;十八;8;1838;8;副都统;三姓副都统;副都统;副都统;从二;;伊勒东阿;1;依勒通阿;满洲;镶蓝;;马甲;;
道光;十一;11;1831;11;副都统;宁古塔副都统;副都统;副都统;从二;;伊勒东阿;1;依勒通阿;满洲;镶蓝;;马甲;;
康熙;二十二;2;1683;2;将军衙门;将军;将军;将军;从一;;伊巴汗;1;伊把汉、伊巴罕;满洲;正白;;;;
雍正;一;;1723;;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;伊忒海;1;伊特海;满洲;正红;;;;
道光;十三;5;1833;5;副都统;熊岳副都统;副都统;副都统;从二;;伊拉清阿;1;;;;;;;
乾隆;二十二;;1757;;副都统;齐齐哈尔副都统;副都统;副都统;从二;;伊柱;1;;满洲;镶蓝;;;;
雍正;九;;1731;;副都统;伯都讷副都统;副都统;副都统;从二;;伊特轮;1;;蒙古;正蓝;;;;
雍正;五;3;1727;3;奉天将军;盛京将军;将军;将军;从一;觉罗;伊礼布;1;伊里布;满洲;镶蓝;;;;
乾隆;二十三;4;1758;4;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;;伊禄顺;1;;满洲;正白;;;;
乾隆;二十三;10;1758;10;副都统;盛京副都统;副都统;副都统;从二;;伊禄顺;1;;满洲;镶蓝;;;;
嘉庆;七;11;1802;11;副都统;伯都讷副都统;副都统;副都统;从二;宗室;伊铿额;2;;满洲;镶蓝;;;;
嘉庆;十二;12;1808;12;副都统;伯都讷副都统;副都统;副都统;从二;宗室;伊铿额;2;;满洲;镶蓝;;;;
嘉庆;十三;5;1808;5;副都统;吉林副都统;副都统;副都统;从二;宗室;伊铿额;1;;满洲;镶蓝;;;;
嘉庆;九;2;1804;2;副都统;墨尔根副都统;副都统;副都统;从二;宗室;伊铿额;1;;满洲;镶蓝;;;;
乾隆;五十三;11;1788;11;副都统;熊岳副都统;副都统;副都统;从二;;伍什哈达;1;乌什哈达;满洲;镶红;;;;
乾隆;五十一;;1786;;副都统;齐齐哈尔副都统;齐齐哈尔副都统;;从二;;伍灵阿;1;;;;;;;
道光;一;7;1821;7;副都统;盛京副都统;副都统;副都统;从二;;伦图善;1;;;;;;;
乾隆;三十六;4;1771;4;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;伯兴;1;博兴;满洲;镶白;;;;
康熙;三十八;;1699;;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;伯尔克;1;白尔克;满洲;镶黄;;;;
乾隆;五十九;11;1794;11;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;;伯麟;1;;满洲;正黄;;;翻译进士;
乾隆;五十七;8;1792;8;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;伯麟;1;;满洲;正黄;;;翻译进士;
乾隆;五十七;12;1792;12;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;;伯麟;1;;满洲;正黄;;;翻译进士;
道光;一;10;1821;10;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;佛住;1;;满洲;镶白;;;进士;
康熙;三十二;10;1693;10;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;;佛保;1;佛葆;满洲;正蓝;;;;
顺治;十四;8;1657;8;副都统;盛京梅勒章京;副都统;梅勒章京;从二;;佟俄罗;1;东俄罗;满洲;正黄;;;;
康熙;二十八;;1679;;吉林将军;吉林将军;将军;将军;从一;;佟保;1;;满洲;正黄;;;;
康熙;四十五;3;1706;3;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;;佟国礼;1;董国礼;满洲;正红;;;;
康熙;三;1;1664;1;奉天府;奉天府府尹;府尹;府尹;正三;;佟宏器;1;佟弘器;汉;;;;;
康熙;二十一;6;1682;6;副都统;盛京副都统;副都统;副都统;从二;;佟宝;1;;满洲;正蓝;;;;
乾隆;二十;3;1755;3;副都统;熊岳副都统;副都统;副都统;从二;宗室;佟海;1;;满洲;正白;;;;
乾隆;三十二;;1767;;副都统;伯都讷副都统;副都统;副都统;从二;;佟福柱;1;;满洲;镶白;;;;
同治;一;4;1862;4;副都统;盛京副都统;副都统;副都统;从二;;侍顺;1;;满洲;镶红;;;官学生;
咸丰;六;4;1856;4;副都统;锦州副都统;副都统;副都统;从二;;侍顺;1;;满洲;镶红;;;官学生;
同治;八;9;1869;9;副都统;墨尔根副都统;副都统;副都统;从二;;依克唐阿;1;;满洲;镶黄;;马甲;;
光绪;二十一;8;1895;8;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;;依克唐阿;1;;满洲;镶黄;;马甲;;
光绪;二十一;;1895;;盛京将军;盛京将军;将军;将军;从一;;依克唐阿;1;;满洲;镶黄;;马甲;;
光绪;二;7;1876;7;副都统;黑龙江副都统;副都统;副都统;从二;;依克唐阿;1;;满洲;镶黄;;马甲;;
光绪;十五;;1889;;黑龙江将军;黑龙江将军;将军;将军;从一;;依克唐阿;1;;满洲;镶黄;;马甲;;
光绪;二十七;4;1901;4;副都统;三姓副都统;副都统;副都统;从二;;侬英阿;1;;满洲;镶蓝;;披甲;;
康熙;十二;12;1673;12;将军衙门;将军;将军;将军;从一;;俄内;1;倭纳、和讷;满洲;正白;;;;
顺治;十四;8;1657;8;副都统;盛京梅勒章京;副都统;梅勒章京;从二;;俄莫克图;1;卾谟克托;满洲;正红;;;;
康熙;三十八;;1699;;副都统;宁古塔副都统;副都统;副都统;从二;;保定;1;;满洲;正白;;;;
康熙;六十;10;1721;10;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;;保德;1;;满洲;正白;;;;
乾隆;十二;11;1747;11;副都统;锦州副都统;副都统;副都统;从二;;保德;1;;满洲;正蓝;;;;
光绪;二十四;5;1898;5;副都统;三姓副都统;副都统;副都统;从二;;保成;1;;满洲;正红;;;;
道光;十三;4;1833;4;吉林将军;吉林将军;将军;将军;从一;;保昌;2;;满洲;正蓝;;;官学生;
道光;十五;2;1835;2;吉林将军;吉林将军;将军;将军;从一;;保昌;2;;满洲;正蓝;;;官学生;
道光;七;9;1827;9;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;保昌;1;;满洲;正蓝;;;官学生;
道光;十五;;1835;;黑龙江将军;黑龙江将军;将军;将军;从一;;保昌;1;;满洲;正蓝;;;官学生;
道光;二十八;12;1848;12;吉林将军;吉林将军;将军;将军;从一;;倭什讷;1;;蒙古;正黄;;;荫生;
道光;二十三;4;1843;4;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;倭什讷;1;;蒙古;正黄;;;荫生;
道光;二十四;;1844;;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;倭什讷;1;;蒙古;正黄;;;荫生;
咸丰;七;11;1857;11;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;;倭仁;1;;蒙古;正红;;;进士;
咸丰;;;;;副都统;盛京副都统;副都统;副都统;从二;;倭仁;1;;蒙古;正红;;;进士;
咸丰;十;8;1860;8;盛京将军;盛京将军;将军;将军;从一;;倭仁;1;;蒙古;正红;;;进士;
咸丰;七;11;1857;11;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;;倭仁;1;;蒙古;正红;;;进士;
咸丰;六;8;1856;8;盛京礼部;盛京礼部侍郎;侍郎;侍郎;正二;;倭仁;1;;蒙古;正红;;;进士;
道光;二十三;9;1843;9;副都统;伯都讷副都统;副都统;副都统;从二;;倭克精额;1;;汉军;正黄;;;笔帖式;
道光;二十;2;1840;2;副都统;阿勒楚喀副都统;副都统;副都统;从二;;倭克精额;1;;汉军;正黄;;;笔帖式;
道光;;;;;副都统;伯都讷副都统;副都统;副都统;从二;;倭升额;1;;;;;;;
道光;三;11;1823;11;副都统;吉林副都统;副都统;副都统;从二;;倭楞泰;1;;满洲;镶蓝;;马甲;;
道光;十;;1860;;吉林将军;吉林将军;将军;将军;从一;;倭楞泰;1;;满洲;镶蓝;;;;
乾隆;二十七;11;1762;11;副都统;盛京副都统;副都统;副都统;从二;;倭盛额;1;鄂升额;满洲;正黄;;;;
雍正;三;5;1725;5;副都统;盛京副都统;副都统;副都统;从二;;傅哥;1;傅格;;;;;;
乾隆;十九;;1754;;副都统;三姓副都统;副都统;副都统;从二;;傅尓松阿;1;;满洲;镶白;;;;
康熙;三十三;6;1694;6;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;傅德;1;富德;满洲;正蓝;;;;
乾隆;十六;4;1751;4;吉林将军;吉林将军;将军;将军;从一;觉罗;傅森;2;富森;满洲;镶黄;;;;
乾隆;二十一;;1756;;吉林将军;吉林将军;将军;将军;从一;觉罗;傅森;2;富森;满洲;镶黄;;;;
乾隆;十七;1;1752;1;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;;傅森;2;;满洲;镶黄;;;监生;
乾隆;五十九;11;1794;11;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;;傅森;2;;满洲;镶黄;;;监生;
乾隆;五十六;1;1791;1;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;傅森;1;;满洲;镶黄;;;监生;
乾隆;八;1;1743;1;黑龙江将军;黑龙江将军;将军;将军;从一;觉罗;傅森;1;富森;满洲;镶黄;;;;
乾隆;二十三;;1758;;副都统;黑龙江副都统;副都统;副都统;从二;;傅玉;1;;满洲;镶黄;;;;
乾隆;三十三;11;1768;11;黑龙江将军;黑龙江将军;将军;将军;从一;;傅玉;2;富玉;满洲;镶黄;;承恩公;;
乾隆;三十七;9;1772;9;黑龙江将军;黑龙江将军;将军;将军;从一;;傅玉;2;富玉;;镶黄;;承恩公;;
康熙;四十一;10;1702;10;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;傅绅;1;傅申;满洲;镶白;;;;
康熙;三十五;;1696;;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;傅继祖;1;;满洲;正蓝;;;;
乾隆;三十四;1;1769;1;吉林将军;吉林将军;将军;将军;从一;;傅良;1;富良;满洲;镶黄;;敦惠伯;;
乾隆;五十三;;1788;;副都统;伯都讷副都统;伯都讷副都统;;从二;;僧保;1;;满洲;正黄;;;;
乾隆;五十九;;1794;;副都统;吉林副都统;吉林副都统;;从二;;僧保;2;;满洲;正黄;;;;
乾隆;三十七;;1774;;副都统;吉林副都统;副都统;副都统;从二;;僧保;2;;满洲;镶蓝;;;;
乾隆;四十九;;1784;;副都统;墨尔根副都统;副都统;副都统;从二;;僧保;1;;满洲;镶蓝;;;;
乾隆;三十七;11;1774;11;副都统;熊岳副都统;副都统;副都统;从二;;僧保;1;;满洲;镶红;;;;
乾隆;三十七;;1774;;副都统;黑龙江副都统;副都统;副都统;从二;;僧保;2;;满洲;正蓝;;;;
乾隆;五十八;1;1793;1;副都统;黑龙江副都统;副都统;副都统;从二;;僧保;2;;满洲;正蓝;;;;
乾隆;五十四;2;1789;2;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;宗室;僧保住;1;花尚阿;满洲;正蓝;;;官学生;
乾隆;二十一;;1756;;副都统;齐齐哈尔副都统;副都统;副都统;从二;;僧保住;1;;满洲;正蓝;;;;
光绪;二十九;1;1903;1;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;;儒林;1;;满洲;镶蓝;;;翻译进士;
雍正;十一;;1733;;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;;兆华;1;;满洲;正蓝;;;;
乾隆;七;1;1742;1;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;;兆惠;1;;满洲;正黄;;;笔帖式;
光绪;十五;11;1889;11;副都统;三姓副都统;副都统;副都统;从二;;克什克图;1;;;;;;;
乾隆;三十八;;1773;;副都统;伯都讷副都统;副都统;副都统;从二;;克兴额;1;;满洲;正蓝;;领催委官;;
乾隆;四十四;;1779;;副都统;吉林副都统;副都统;副都统;从二;;克兴额;1;;满洲;正蓝;;领催委官;;
道光;二十七;2;1847;2;副都统;齐齐哈尔副都统;副都统;副都统;从二;;克升额;1;;满洲;;;领催委官;;
同治;三;7;1864;7;副都统;墨尔根副都统;副都统;副都统;从二;;克蒙额;1;;汉军;正白;;;;
道光;十一;5;1831;5;副都统;黑龙江副都统;副都统;副都统;从二;;全凌阿;1;;;;;;;
光绪;二十七;4;1901;4;副都统;宁古塔副都统;副都统;副都统;从二;;全福;1;;;;;;;
同治;七;7;1868;7;副都统;齐齐哈尔副都统;副都统;副都统;从二;;全英;1;;;;;;;
乾隆;四十三;11;1778;11;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;;全魁;1;;满洲;镶白;;;进士;
乾隆;四十三;11;1778;11;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;;全魁;1;;满洲;镶白;;;进士;
乾隆;四十;十二;1775;12;盛京礼部;盛京礼部侍郎;盛京礼部侍郎;;正二;;全魁;2;;满洲;镶白;;;进士;
乾隆;四十一;;1776;;盛京礼部;盛京礼部侍郎;侍郎;侍郎;正二;;全魁;2;;满洲;镶白;;;进士;
咸丰;九;5;1859;5;副都统;黑龙江副都统;副都统;副都统;从二;;关保;1;;满洲;正黄;;;;
雍正;一;2;1723;2;盛京礼部;盛京礼部侍郎;侍郎;侍郎;正二;;关色;1;;满洲;镶白;;;;
;;;;;乌拉宁古塔将军衙门;佐领;佐领;佐领;;;兴住;1;;;镶蓝;;;;
