朝代;年;月;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;又名;民族;旗分;旗分（或）;爵位;科举;科举（其他）
道光;十八;十一;1838;4;刑部;刑部侍郎;侍郎;侍郎;正二;宗室;德诚;;满洲;镶蓝;;;进士;
道光;十九;四;1839;1;刑部;刑部侍郎;侍郎;侍郎;正二;宗室;德诚;;满洲;镶蓝;;;进士;
道光;二十;六;1840;2;刑部;刑部侍郎;侍郎;侍郎;正二;;柏葰;;蒙古;正蓝;;;进士;
道光;二十四;二;1844;1;刑部;刑部侍郎;侍郎;侍郎;正二;;花沙纳;;蒙古;正黄;;;进士;
道光;二十五;四;1845;1;刑部;刑部侍郎;侍郎;侍郎;正二;;广林;;蒙古;正黄;;;进士;
道光;二十二;;1842;;刑部;刑部侍郎;侍郎;侍郎;正二;宗室;灵桂;;满洲;正蓝;;;进士;
咸丰;五;八;1855;3;刑部;刑部侍郎;侍郎;侍郎;正二;宗室;善焘;;满洲;镶白;;;进士;
咸丰;六;七;1856;2;刑部;刑部侍郎;侍郎;侍郎;正二;宗室;和润;;满洲;镶蓝;;;进士;
咸丰;;;;;刑部;刑部侍郎;侍郎;侍郎;正二;宗室;和润;;满洲;镶蓝;;;进士;
同治;一;十一;1862;4;刑部;刑部侍郎;侍郎;侍郎;正二;;志和;;满洲;正蓝;;;进士;
同治;八;八;1869;3;刑部;刑部侍郎;侍郎;侍郎;正二;宗室;瑞联;;满洲;正红;;;进士;
同治;十;五;1871;2;刑部;刑部侍郎;侍郎;侍郎;正二;;铭安;;满洲;镶黄;;;进士;
光绪;一;;1875;;刑部;刑部侍郎;侍郎;侍郎;正二;;继格;;满洲;正白;;;进士;
光绪;;;;;刑部;刑部侍郎;侍郎;侍郎;正二;;铭安;;满洲;镶黄;;;进士;
光绪;三;;1877;;刑部;刑部侍郎;侍郎;侍郎;正二;;继格;;满洲;正白;;;进士;
光绪;四;;1878;;刑部;刑部侍郎;侍郎;侍郎;正二;;苏勒布;;满洲;正红;;;进士;
光绪;;;;;刑部;刑部侍郎;侍郎;侍郎;正二;;铭安;;满洲;镶黄;;;进士;
光绪;五;六;1879;2;刑部;刑部侍郎;侍郎;侍郎;正二;;启秀;;满洲;正红;;;进士;
光绪;七;五;1881;2;刑部;刑部侍郎;侍郎;侍郎;正二;宗室;宝森;;满洲;镶蓝;;;进士;
光绪;;;;;刑部;刑部侍郎;侍郎;侍郎;正二;;启秀;;满洲;正红;;;进士;
光绪;八;;1882;;刑部;刑部侍郎;侍郎;侍郎;正二;宗室;宝森;;满洲;镶蓝;;;进士;
光绪;十二;五;1886;2;刑部;刑部侍郎;侍郎;侍郎;正二;宗室;松森;;满洲;正蓝;;;进士;
光绪;十三;二;1887;1;刑部;刑部侍郎;侍郎;侍郎;正二;;英煦;;满洲;镶黄;;;进士;
雍正;一;;1723;;工部;工部侍郎;侍郎;侍郎;正二;;李永绍;;汉;;;;进士;
乾隆;三十七;三;1772;1;工部;工部侍郎;侍郎;侍郎;正二;;瓦尔达;;满洲;正黄;;;进士;
嘉庆;八;十一;1803;4;工部;工部侍郎;侍郎;侍郎;正二;;萨彬图;;满洲;镶白;;;进士;
嘉庆;二十三;五;1818;2;工部;工部侍郎;侍郎;侍郎;正二;;多山;;蒙古;正蓝;;;进士;
